Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father Name,Mother Name,Mother Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No., Place Name,County,City,State,Zip,Region,User Name,Password
958326,Mr.,Larry,T,Miller,M,larry.miller@shell.com,Russell Miller,Mildred Miller,Ward,10/31/88,8:55:23 AM,28.76,75,2/22/17,Q1,H1,2017,2,February,Feb,22,Wednesday,Wed,0.43,97904,20%,207-84-9482,217-574-9283,East Saint Louis,St. Clair,East Saint Louis,IL,62201,Midwest,ltmiller,2WgF#:ew**x#
818384,Mr.,Peter,X,Washington,M,peter.washington@bp.com,Douglas Washington,Jean Washington,Henderson,11/6/82,7:45:32 AM,34.75,70,11/29/09,Q4,H2,2009,11,November,Nov,29,Sunday,Sun,7.67,173226,27%,039-74-8867,231-322-0316,Portage,Kalamazoo,Portage,MI,49024,Midwest,pxwashington,97%d^2rk41!E>*Q
971640,Prof.,Clarence,A,Ross,M,clarence.ross@apple.com,Arthur Ross,Louise Ross,Washington,12/13/60,7:34:07 PM,56.66,64,12/31/08,Q4,H2,2008,12,December,Dec,31,Wednesday,Wed,8.58,165272,9%,372-37-5315,423-772-0118,Oneida,Scott,Oneida,TN,37841,South,caross,h&jmac@+QD?B
750173,Mr.,Antonio,R,Roberts,M,antonio.roberts@hotmail.com,Timothy Roberts,Diana Roberts,Rodriguez,8/27/95,2:47:04 PM,21.93,82,5/1/17,Q2,H1,2017,5,May,May,1,Monday,Mon,0.24,181646,30%,281-15-7944,205-267-7304,Mc Calla,Jefferson,Mc Calla,AL,35111,South,arroberts,h>.g!B:VcNN
758872,Mr.,Henry,Y,Jenkins,M,henry.jenkins@hotmail.com,Albert Jenkins,Beverly Jenkins,Murphy,11/6/84,2:58:05 PM,32.75,70,6/21/17,Q2,H1,2017,6,June,Jun,21,Wednesday,Wed,0.1,102384,11%,499-29-3125,314-731-7135,Riverside,Platte,Riverside,MO,64150,Midwest,hyjenkins,zPnRU5Bo
917937,Mr.,Todd,H,Hall,M,todd.hall@yahoo.com,Thomas Hall,Kathleen Hall,Morgan,8/31/91,4:54:02 AM,25.93,74,5/8/16,Q2,H1,2016,5,May,May,8,Sunday,Sun,1.22,163560,0%,633-31-1781,240-513-8668,Randallstown,Baltimore,Randallstown,MD,21133,South,thhall,Lgdb8q<0L@-/
917395,Hon.,Christopher,D,Nelson,M,christopher.nelson@aol.com,Jeffrey Nelson,Cynthia Nelson,Sanders,3/29/60,5:56:17 PM,57.37,62,11/8/97,Q4,H2,1997,11,November,Nov,8,Saturday,Sat,19.73,190765,0%,120-98-6155,480-946-9780,Willow Beach,Mohave,Willow Beach,AZ,86445,West,cdnelson,QKae{1EP1A[SeX
316110,Mr.,Jeremy,I,Sanchez,M,jeremy.sanchez@hotmail.com,Albert Sanchez,Patricia Sanchez,Ross,2/5/65,4:25:09 PM,52.51,52,4/2/06,Q2,H1,2006,4,April,Apr,2,Sunday,Sun,11.33,178847,1%,474-55-8883,423-974-2755,Alcoa,Blount,Alcoa,TN,37701,South,jisanchez,Yg#Z+:CDwDV<*xZ
293459,Mr.,Steven,J,Phillips,M,steven.phillips@hotmail.com,Jason Phillips,Gloria Phillips,Lewis,9/12/86,5:00:38 AM,30.9,58,3/27/15,Q1,H1,2015,3,March,Mar,27,Friday,Fri,2.34,90108,24%,578-53-9940,225-968-5952,Baton Rouge,East Baton Rouge,Baton Rouge,LA,70833,South,sjphillips,ht}X55$P&g1
915638,Dr.,Jason,W,Anderson,M,jason.anderson@gmail.com,Brandon Anderson,Julia Anderson,Baker,1/3/74,6:47:06 PM,43.59,57,9/21/99,Q3,H2,1999,9,September,Sep,21,Tuesday,Tue,17.86,76636,19%,048-15-7937,217-856-6752,Hudson,McLean,Hudson,IL,61748,Midwest,jwanderson,a3Hlk+.V/TjD
883936,Mr.,Douglas,I,Flores,M,douglas.flores@gmail.com,Justin Flores,Kathy Flores,Ramirez,4/21/86,1:44:47 AM,31.29,61,9/10/09,Q3,H2,2009,9,September,Sep,10,Thursday,Thu,7.88,181793,20%,324-11-6837,303-836-4721,Eckert,Delta,Eckert,CO,81418,West,diflores,9||FLq|0tU|9>v
528673,Hon.,Paul,V,Watson,M,paul.watson@hotmail.com,Carl Watson,Anna Watson,Bennett,3/9/59,5:19:17 AM,58.43,60,6/26/95,Q2,H1,1995,6,June,Jun,26,Monday,Mon,22.1,145235,15%,286-15-9671,270-556-7711,Blue River,Floyd,Blue River,KY,41607,South,pvwatson,7q{iHhbgWZ7%
806955,Mr.,William,G,Hernandez,M,william.hernandez@rediffmail.com,Peter Hernandez,Deborah Hernandez,Jones,7/22/67,8:22:32 AM,50.05,50,3/21/00,Q1,H1,2000,3,March,Mar,21,Tuesday,Tue,17.36,73734,22%,629-31-9010,239-276-0532,Mary Esther,Okaloosa,Mary Esther,FL,32569,South,wghernandez,BRB3DFywgZZ4
225925,Mr.,Paul,D,Cooper,M,paul.cooper@gmail.com,Nicholas Cooper,Helen Cooper,Hill,8/12/91,11:14:26 PM,25.98,68,9/8/14,Q3,H2,2014,9,September,Sep,8,Monday,Mon,2.89,73526,27%,613-87-0084,210-984-4722,Glidden,Colorado,Glidden,TX,78943,South,pdcooper,hW%ZbJ\fZ-
761821,Mr.,Ernest,G,Washington,M,ernest.washington@msn.com,Johnny Washington,Shirley Washington,Harris,10/28/84,11:37:48 AM,32.77,87,1/31/15,Q1,H1,2015,1,January,Jan,31,Saturday,Sat,2.49,176675,15%,178-86-1878,212-596-1659,Saranac Lake,Franklin,Saranac Lake,NY,12983,Northeast,egwashington,B\Wb^6W-
802554,Mr.,Ryan,V,Alexander,M,ryan.alexander@shell.com,William Alexander,Elizabeth Alexander,Gray,8/1/93,6:26:20 PM,24.01,65,8/31/14,Q3,H2,2014,8,August,Aug,31,Sunday,Sun,2.91,106628,24%,017-94-7572,225-395-3347,Jarreau,Pointe Coupee,Jarreau,LA,70749,South,rvalexander,3N3]VFZx?MaC{
623929,Prof.,Jimmy,R,Howard,M,jimmy.howard@yahoo.com,Nicholas Howard,Patricia Howard,Hayes,11/27/66,10:37:53 AM,50.7,87,12/12/07,Q4,H2,2007,12,December,Dec,12,Wednesday,Wed,9.63,120631,13%,610-87-0251,212-855-9316,Oriskany,Oneida,Oriskany,NY,13424,Northeast,jrhoward,0v+|SfA0Xv+Pf%
185032,Mr.,Eugene,D,Perez,M,eugene.perez@exxonmobil.com,Jimmy Perez,Lois Perez,Hall,10/6/79,11:02:58 AM,37.84,59,12/8/14,Q4,H2,2014,12,December,Dec,8,Monday,Mon,2.64,122950,26%,192-86-6418,262-472-7112,Racine,Racine,Racine,WI,53490,Midwest,edperez,g]SJn<W_/#
489424,Dr.,Phillip,F,White,M,phillip.white@gmail.com,Harold White,Frances White,Carter,3/4/78,11:45:07 PM,39.43,82,1/5/16,Q1,H1,2016,1,January,Jan,5,Tuesday,Tue,1.56,181774,7%,447-27-9469,503-668-6592,Mapleton,Lane,Mapleton,OR,97453,West,pfwhite,8<Mc.5]eu.*C8.
