Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
958326,Mr.,Larry,T,Miller,M,larry.miller@shell.com,Russell Miller,Mildred Miller,Ward,10/31/88,8:55:23 AM,28.76,75,2/22/17,Q1,H1,2017,2,February,Feb,22,Wednesday,Wed,0.43,97904,20%,207-84-9482,217-574-9283,East Saint Louis,St. Clair,East Saint Louis,IL,62201,Midwest,ltmiller,2WgF#:ew**x#
447813,Mrs.,Ann,Q,Coleman,F,ann.coleman@ibm.com,Harold Coleman,Tina Coleman,Walker,5/11/89,9:46:13 PM,28.23,41,11/19/13,Q4,H2,2013,11,November,Nov,19,Tuesday,Tue,3.69,130014,12%,027-92-0557,319-994-4179,Hancock,Pottawattamie,Hancock,IA,51536,Midwest,aqcoleman,g2]GlvlL5
525955,Drs.,Judy,C,Gonzales,F,judy.gonzales@gmail.com,Kevin Gonzales,Sharon Gonzales,Perez,6/17/59,7:11:37 PM,58.15,51,1/3/92,Q1,H1,1992,1,January,Jan,3,Friday,Fri,25.58,149575,9%,029-92-2155,201-640-8645,Eatontown,Monmouth,Eatontown,NJ,7724,Northeast,jcgonzales,yDl}pfaWs{Hro6
818384,Mr.,Peter,X,Washington,M,peter.washington@bp.com,Douglas Washington,Jean Washington,Henderson,11/6/82,7:45:32 AM,34.75,70,11/29/09,Q4,H2,2009,11,November,Nov,29,Sunday,Sun,7.67,173226,27%,039-74-8867,231-322-0316,Portage,Kalamazoo,Portage,MI,49024,Midwest,pxwashington,97%d^2rk41!E>*Q
971640,Prof.,Clarence,A,Ross,M,clarence.ross@apple.com,Arthur Ross,Louise Ross,Washington,12/13/60,7:34:07 PM,56.66,64,12/31/08,Q4,H2,2008,12,December,Dec,31,Wednesday,Wed,8.58,165272,9%,372-37-5315,423-772-0118,Oneida,Scott,Oneida,TN,37841,South,caross,h&jmac@+QD?B
253573,Ms.,Sharon,E,Lopez,F,sharon.lopez@gmail.com,Daniel Lopez,Susan Lopez,Hayes,5/4/91,6:24:30 AM,26.25,43,3/7/14,Q1,H1,2014,3,March,Mar,7,Friday,Fri,3.39,190139,21%,064-02-2589,304-934-5548,Bartley,McDowell,Bartley,WV,24813,South,selopez,GsP~S?FYY
904898,Drs.,Ann,Q,Cooper,F,ann.cooper@exxonmobil.com,Harold Cooper,Mildred Cooper,Williams,12/25/92,3:01:52 AM,24.61,44,2/15/17,Q1,H1,2017,2,February,Feb,15,Wednesday,Wed,0.45,182521,30%,219-89-6310,406-278-6460,Arlee,Lake,Arlee,MT,59821,West,aqcooper,i_^#>]tFpt
515103,Ms.,Anne,A,Perez,F,anne.perez@sbcglobal.net,Douglas Perez,Doris Perez,Bailey,5/5/58,1:44:42 AM,59.27,48,7/28/03,Q3,H2,2003,7,July,Jul,28,Monday,Mon,14.01,114426,9%,594-99-9091,423-837-3338,Cookeville,Putnam,Cookeville,TN,38505,South,aaperez,y;n9A#}b
491943,Mrs.,Nancy,P,Howard,F,nancy.howard@gmail.com,Gregory Howard,Mildred Howard,Flores,5/5/61,9:17:37 PM,56.27,45,2/6/99,Q1,H1,1999,2,February,Feb,6,Saturday,Sat,18.48,101553,25%,035-74-2732,236-973-8086,Saxe,Charlotte,Saxe,VA,23967,South,nphoward,OC\&tG&?c
750173,Mr.,Antonio,R,Roberts,M,antonio.roberts@hotmail.com,Timothy Roberts,Diana Roberts,Rodriguez,8/27/95,2:47:04 PM,21.93,82,5/1/17,Q2,H1,2017,5,May,May,1,Monday,Mon,0.24,181646,30%,281-15-7944,205-267-7304,Mc Calla,Jefferson,Mc Calla,AL,35111,South,arroberts,h>.g!B:VcNN
